"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"61",1999,"FL",37340,"Palm Bay-Melbourne-Titusville, FL",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,47360,15020,NA,NA,19350,22570,NA,55000,NA,NA,47210,14790,NA,NA,18120,21440,NA,62740,NA,NA,NA,NA,NA
"62",1999,"FL",34940,"Naples-Marco Island, FL",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,45390,18100,NA,NA,NA,NA,NA,NA,NA,NA,47760,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1999,"FL",36740,"Orlando-Kissimmee-Sanford, FL",280,2010,3060,1260,NA,NA,NA,180,NA,NA,49480,18870,20900,59310,NA,NA,37130,29760,34860,NA,47840,16720,21190,59540,NA,NA,35110,25960,33160,NA,NA,NA,NA
"64",1999,"FL",37460,"Panama City-Panama City Beach, FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15520,NA,NA,NA,NA,NA,NA,NA,NA,NA,15410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1999,"FL",37860,"Pensacola-Ferry Pass-Brent, FL",NA,420,NA,300,NA,NA,1150,NA,NA,NA,30270,16080,16300,61790,NA,33140,39620,43080,NA,NA,19510,16000,12790,62580,NA,32510,38280,44900,NA,NA,NA,NA,NA
"66",1999,"FL",35840,"North Port-Bradenton-Sarasota, FL",NA,250,NA,NA,NA,NA,NA,60,NA,NA,NA,17900,15800,72420,NA,37920,40660,30410,37930,NA,NA,17020,15510,73480,NA,36950,41480,26480,37920,NA,NA,NA,NA
"67",1999,"FL",45220,"Tallahassee, FL",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,68610,19670,NA,NA,NA,NA,NA,NA,NA,NA,59500,14690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1999,"FL",45300,"Tampa-St. Petersburg-Clearwater, FL",NA,2690,3690,1220,1950,13650,7460,180,6420,NA,38590,18020,20070,62200,37710,38940,36660,38470,35030,NA,35730,16020,20100,63430,37310,37570,36460,36100,35150,NA,NA,NA,NA
"69",1999,"GA",10500,"Albany, GA",NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,20890,12520,NA,39490,40020,NA,NA,NA,NA,NA,19830,12580,NA,38910,39310,NA,NA,NA,NA,NA,NA,NA
"70",1999,"GA",12020,"Athens-Clarke County, GA",NA,390,NA,120,NA,590,NA,NA,NA,NA,NA,20210,NA,65110,NA,43700,NA,NA,51810,NA,NA,18920,NA,65120,NA,42310,NA,NA,52170,NA,NA,NA,NA
"71",1999,"GA",12060,"Atlanta-Sandy Springs-Roswell, GA",580,NA,2140,2920,3100,23830,10010,NA,4800,NA,46350,19700,21150,67260,32760,41180,41200,39040,38580,NA,44360,16420,22890,66990,33760,39600,41250,37380,37520,NA,NA,NA,NA
"72",1999,"GA",12260,"Augusta-Richmond County, GA-SC",NA,1750,270,170,NA,NA,NA,NA,NA,NA,47800,20660,18160,61380,33260,41290,NA,NA,NA,NA,46170,19020,17870,60180,32630,38860,NA,NA,NA,NA,NA,NA,NA
"73",1999,"GA",17980,"Columbus, GA-AL",NA,NA,260,300,310,1420,540,NA,660,NA,NA,19000,17160,52690,38490,37950,42980,22430,41420,NA,NA,17510,16810,53810,37550,37620,43220,20530,40580,NA,NA,NA,NA
"74",1999,"GA",31420,"Macon-Bibb County, GA",NA,1210,NA,180,280,1340,620,70,630,NA,59940,19260,NA,62580,37660,40460,40550,23430,39260,NA,61810,17090,NA,62940,37190,39820,40170,23040,38040,NA,NA,NA,NA
"75",1999,"GA",42340,"Savannah, GA",30,1410,NA,190,NA,1460,NA,NA,NA,NA,43970,16970,12400,51160,38220,40050,NA,NA,NA,NA,42190,15240,12300,51230,37660,39470,NA,NA,NA,NA,NA,NA,NA
"76",1999,"HI",46520,"Urban Honolulu, HI",NA,1700,1240,350,NA,NA,4610,180,NA,NA,60810,21520,21680,72840,30850,NA,48550,38090,NA,NA,56250,21830,21200,67430,27340,NA,47950,32850,NA,NA,NA,NA,NA
"77",1999,"IA",16300,"Cedar Rapids, IA",NA,230,190,130,70,1170,1270,70,800,NA,NA,17300,22310,54190,28390,34110,30730,39420,37690,NA,NA,16070,25430,55720,27570,35220,27480,24890,37750,NA,NA,NA,NA
"78",1999,"IA",19340,"Davenport-Moline-Rock Island, IA-IL",40,NA,NA,200,NA,2330,690,60,850,NA,43580,16970,22200,68820,36990,38920,41770,33610,37110,NA,40700,15830,23210,70250,36610,38730,39580,25140,36320,NA,NA,NA,NA
"79",1999,"IA",19780,"Des Moines-West Des Moines, IA",NA,1360,560,270,120,1990,2200,NA,NA,NA,NA,17820,22810,63670,29110,33170,35750,29740,35560,NA,NA,15990,24290,64110,25210,33150,35690,29850,34740,NA,NA,NA,NA
"80",1999,"IA",20220,"Dubuque, IA",NA,130,NA,50,NA,600,NA,NA,NA,NA,NA,13580,NA,60250,29610,32390,NA,NA,NA,NA,NA,13310,NA,62620,29600,32570,NA,NA,NA,NA,NA,NA,NA
