CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model,mape_base
20460,1,2017,36523.05859375,35545.7578125,36078.20458333333,977.30078125,444.85401041666773,2.67584594193043,1.2180086431552901
20460,2,2018,36338.7265625,35943.65234375,36078.20458333333,395.07421875,260.52197916666773,1.0871988540115516,0.7169265513983187
20460,3,2019,37821.0,36321.13671875,36078.20458333333,1499.86328125,1742.7954166666677,3.965689117817095,4.608009879871519
20500,1,2017,52519.171875,51839.17578125,51491.5875,679.99609375,1027.5843749999985,1.2947578369444168,1.9565890670278263
20500,2,2018,52906.78515625,51818.77734375,51491.5875,1088.0078125,1415.1976562499985,2.056461773828391,2.6748887729054363
20500,3,2019,54941.0,52422.12890625,51491.5875,2518.87109375,3449.4124999999985,4.584683740284199,6.278394095483102
20540,1,2017,39642.3671875,40678.40625,39453.44458333333,1036.0390625,188.92260416666977,2.6134641697845478,0.47656741403221015
20540,2,2018,40032.171875,41082.89453125,39453.44458333333,1050.72265625,578.7272916666698,2.624695606150491,1.44565549297099
20540,3,2019,42038.0,41392.296875,39453.44458333333,645.703125,2584.5554166666698,1.5359986797655607,6.148140769461095
20580,1,2017,30308.4296875,30339.484375,29501.3875,31.0546875,807.0421874999993,0.10246221206503987,2.662764768154843
20580,2,2018,31467.087890625,31084.931640625,29501.3875,382.15625,1965.7003906249993,1.2144633508133889,6.246845585002533
20580,3,2019,32525.0,31136.513671875,29501.3875,1388.486328125,3023.6124999999993,4.268981792850339,9.296272098382996
20660,1,2017,69333.1953125,70501.8359375,69648.41833333333,1168.640625,315.2230208333349,1.6855427183652947,0.4546494928042906
20660,2,2018,69879.109375,71052.859375,69648.41833333333,1173.75,230.69104166666511,1.679686547950987,0.3301287662792742
20660,3,2019,74027.0,71636.9140625,69648.41833333333,2390.0859375,4378.581666666665,3.228667834033092,5.914844133446005
20700,1,2017,42736.640625,42946.46875,42441.93833333333,209.828125,294.7022916666683,0.49097945447122027,0.6895775787631866
20700,2,2018,43348.83984375,43206.34765625,42441.93833333333,142.4921875,906.9015104166683,0.3287104983975979,2.092100996671115
20700,3,2019,44973.0,43707.51171875,42441.93833333333,1265.48828125,2531.0616666666683,2.8138845112616875,5.627958256434095
20740,1,2017,46100.0703125,45462.625,44893.46208333333,637.4453125,1206.608229166668,1.3827426035986305,2.6173674378089515
20740,2,2018,47376.29296875,45763.55859375,44893.46208333333,1612.734375,2482.830885416668,3.4040957490351547,5.2406609505177
20740,3,2019,48125.0,46068.03125,44893.46208333333,2056.96875,3231.537916666668,4.274220779219892,6.71488398268259
