CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
13180,3,2019,44901.0,41716.8671875,43027.9175,3184.1328125,1873.0824999999968,7.091451888599363
13220,1,2017,38294.4921875,37640.24609375,36639.67916666667,654.24609375,1654.8130208333314,1.708460032702973
13220,2,2018,39483.296875,37864.08984375,36639.67916666667,1619.20703125,2843.6177083333314,4.100992468729855
13220,3,2019,40829.0,38113.46875,36639.67916666667,2715.53125,4189.320833333331,6.650986431213108
13260,1,2017,40634.49609375,36605.41796875,40116.13375,4029.078125,518.3623437499991,9.915413041432334
13260,2,2018,41496.515625,36843.17578125,40116.13375,4653.33984375,1380.3818749999991,11.213808614202172
13260,3,2019,42887.0,37191.97265625,40116.13375,5695.02734375,2770.866249999999,13.27914599703873
13300,1,2017,29684.568359375,29205.275390625,28616.02625,479.29296875,1068.542109375001,1.6146199700378308
13300,2,2018,30444.6953125,29233.669921875,28616.02625,1211.025390625,1828.669062500001,3.977787848406473
13300,3,2019,31065.0,29741.982421875,28616.02625,1323.017578125,2448.973750000001,4.2588687530178655
13340,1,2017,42206.671875,40099.421875,41429.7925,2107.25,776.8793749999968,4.992694060884183
13340,2,2018,42924.19921875,40486.296875,41429.7925,2437.90234375,1494.4067187499968,5.679552299452296
13340,3,2019,42592.0,40984.6953125,41429.7925,1607.3046875,1162.2074999999968,3.7737243789913597
13380,1,2017,47430.2109375,43101.609375,46888.9875,4328.6015625,541.2234374999971,9.126254083507892
13380,2,2018,49056.51953125,43816.38671875,46888.9875,5240.1328125,2167.532031249997,10.6818275380542
13380,3,2019,51191.0,44565.1484375,46888.9875,6625.8515625,4302.012499999997,12.9433915385517
13420,1,2017,41449.2734375,36578.296875,41253.99875,4870.9765625,195.27468750000116,11.751657287418524
13420,2,2018,42799.96484375,37084.46875,41253.99875,5715.49609375,1545.9660937500012,13.353973804921532
13420,3,2019,42687.0,37702.6875,41253.99875,4984.3125,1433.0012500000012,11.67641787897955
13460,1,2017,54912.3828125,43876.390625,53036.441666666666,11035.9921875,1875.9411458333343,20.097456388266252
13460,2,2018,56529.96484375,44089.28125,53036.441666666666,12440.68359375,3493.5231770833343,22.00723745032623
13460,3,2019,57770.0,44173.26171875,53036.441666666666,13596.73828125,4733.558333333334,23.53598456162368
13540,1,2017,50937.609375,48659.37109375,50496.488333333335,2278.23828125,441.1210416666654,4.472605426920862
13540,2,2018,51388.46875,49171.7890625,50496.488333333335,2216.6796875,891.9804166666654,4.3135741177343405
13540,3,2019,52804.0,49193.84765625,50496.488333333335,3610.15234375,2307.5116666666654,6.8368917956026065
13660,1,2017,36317.5390625,31945.5546875,35155.55375,4371.984375,1161.9853125000009,12.038217588135899
