CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,diploma_recipients,population,unemployment,Employees,Establishment_entries,Job_creation_entries,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj,total_expenditure
33980,Morehead City,NC,2010,0,8565.0,580.0,66652.0,9.5,17960.0,187.0,1052.0,16774670.334708849,61278897.75332416,11563361.302154975,2068110.0412654746,47003.77991746905,91685039.43145345
33980,Morehead City,NC,2011,0,8801.0,,67192.0,9.8,17681.0,161.0,1200.0,15027064.917741219,57653585.14895509,10918128.501556247,2400100.933748333,46323.88083592708,85998879.5020009
33980,Morehead City,NC,2012,0,8792.0,,67359.0,9.2,17886.0,139.0,611.0,15523529.181184668,54146925.08710801,10900660.278745644,2224010.888501742,46845.665505226476,82795125.43554007
33980,Morehead City,NC,2013,0,8840.0,,67791.0,7.6,17597.0,146.0,916.0,15784262.231759654,55896239.484978534,11148739.48497854,1988533.9055793989,45081.11716738197,84817775.10729614
33980,Morehead City,NC,2014,0,8715.0,,67852.0,6.0,18249.0,156.0,715.0,15038444.021968737,56689348.96493452,11193761.723700888,1906677.228559358,46514.28221377271,84828231.93916349
33980,Morehead City,NC,2015,0,8723.0,,67756.0,5.9,18802.0,172.0,902.0,15316106.329113923,57309167.08860759,11447160.337552741,2083361.6033755273,48486.977637130796,86155795.35864978
33980,Morehead City,NC,2016,0,8678.0,,67672.0,5.2,19091.0,155.0,650.0,15288729.166666666,56413812.5,10685063.75,1962497.5,50030.90125,84350102.91666667
33980,Morehead City,NC,2017,0,8606.0,,67619.0,4.5,19707.0,179.0,819.0,14577299.469604243,56010923.296613626,11489286.41370869,2430767.033863729,50116.57405140759,84508276.21379028
33980,Morehead City,NC,2018,0,8591.0,,67959.0,4.5,20310.0,159.0,892.0,14795162.485065712,56274366.387893274,11373609.318996416,2157818.797291916,50654.26164874552,84600956.98924732
33980,Morehead City,NC,2019,0,8410.0,618.0,67733.0,4.1,20218.0,161.0,683.0,26170000.0,57824000.0,11886000.0,2209000.0,53029.0,98089000.0
34020,Morgan City,LA,1998,0,11575.0,584.0,54914.0,7.3,26415.0,140.0,1768.0,17406424.5398773,60826794.4785276,15950660.122699386,1775781.5950920244,33680.239263803676,95959660.73619631
34020,Morgan City,LA,1999,0,11324.0,554.0,54246.0,10.5,24630.0,122.0,1374.0,16559107.44297719,63740822.32893157,15879184.873949578,1761966.3865546219,31566.518007202878,97941081.03241296
34020,Morgan City,LA,2000,0,11293.0,547.0,53377.0,7.2,23215.0,104.0,1137.0,15592948.315911733,60093954.70383276,14710916.957026714,1505689.8954703833,32320.361207897797,91903509.87224159
34020,Morgan City,LA,2001,0,10990.0,560.0,53044.0,6.9,22728.0,121.0,1148.0,17191129.943502825,59270393.22033898,14446327.683615819,1513975.1412429377,34083.2209039548,92421825.98870055
34020,Morgan City,LA,2002,0,10827.0,614.0,53109.0,7.4,21858.0,93.0,650.0,17303456.364647023,62443958.31017231,14652647.581989992,1441244.024458032,34002.84102279044,95841306.28126736
34020,Morgan City,LA,2003,0,10691.0,592.0,53245.0,7.3,23281.0,115.0,1430.0,18335357.60869565,63162069.021739125,15001529.891304346,1517523.913043478,34437.50923913043,98016480.43478261
34020,Morgan City,LA,2004,0,10537.0,608.0,53288.0,8.4,23720.0,117.0,709.0,18016765.48438327,63318575.436739005,15156553.202752778,1591864.4785600845,34403.76495500264,98083758.60243516
34020,Morgan City,LA,2005,0,10477.0,637.0,53015.0,8.7,21824.0,90.0,703.0,17055831.54121864,61872068.10035842,14522398.361495135,1611708.6533538145,36675.20942140297,95062006.65642601
34020,Morgan City,LA,2006,0,10563.0,605.0,54152.0,4.3,22588.0,114.0,1268.0,18091789.682539683,62603375.99206349,14757289.186507937,1553732.638888889,39982.29712301587,97006187.50000001
34020,Morgan City,LA,2007,0,10206.0,585.0,54104.0,4.1,24781.0,112.0,864.0,20418995.658465993,68638119.63338158,15774950.795947902,2188190.0627110465,41950.58851905451,107020256.15050651
34020,Morgan City,LA,2008,0,10171.0,535.0,54352.0,4.6,26257.0,92.0,900.0,22130579.65629354,71945167.67301439,16343184.858337201,1950113.3302368785,43554.51045053413,112369045.51788202
34020,Morgan City,LA,2009,0,9902.0,542.0,54551.0,7.4,26945.0,101.0,573.0,25313823.392357875,79208615.5638397,18323180.801491145,2187629.0773532153,41641.20969245107,125033248.83504193
34020,Morgan City,LA,2010,0,9907.0,545.0,54573.0,8.8,24114.0,80.0,366.0,22799623.567171022,76525933.51673543,16997425.95139844,2043489.6836313617,42480.66850068776,118366472.71893626
34020,Morgan City,LA,2011,0,9834.0,,54301.0,8.4,21977.0,85.0,588.0,22347884.393063582,74613464.65095598,16516469.097376611,2107904.8465984883,41462.28368163628,115585722.98799466
34020,Morgan City,LA,2012,0,9806.0,,53767.0,7.1,22670.0,70.0,420.0,23746912.456445992,73483680.74912891,17998117.160278745,2515793.989547038,44198.457752613234,117744504.35540068
34020,Morgan City,LA,2013,0,9781.0,,53874.0,6.3,22881.0,68.0,414.0,22268945.922746778,68179716.30901287,17618059.22746781,2395678.540772532,42539.481115879826,110462399.99999999
34020,Morgan City,LA,2014,0,9708.0,,53649.0,6.1,22263.0,87.0,793.0,22589534.009294465,67802090.40980144,17673223.489649348,2623976.7638360797,42142.42796789185,110688824.67258134
34020,Morgan City,LA,2015,0,9694.0,,53338.0,7.5,21811.0,70.0,613.0,23470454.852320675,68502785.23206751,17915183.544303797,2527869.6202531643,42141.9493670886,112416293.24894513
34020,Morgan City,LA,2016,0,9490.0,,52575.0,9.1,19739.0,78.0,1221.0,22437675.0,64463035.416666664,17693374.583333332,2454720.0,38204.77625,107048804.99999999
34020,Morgan City,LA,2017,0,9053.0,,51266.0,7.6,18221.0,63.0,360.0,21132024.479804162,60530272.13382293,16927736.434108526,2304534.067727458,38369.60546715626,100894567.11546308
34020,Morgan City,LA,2018,0,8947.0,,50414.0,6.3,18117.0,67.0,797.0,21945801.274392676,59383295.49980088,16111849.462365592,2495900.836320191,39405.905615292715,99936847.07287934
34020,Morgan City,LA,2019,0,8799.0,603.0,50051.0,5.5,18641.0,50.0,230.0,20630000.0,57653000.0,16222000.0,2563000.0,40436.0,97068000.0
34060,Morgantown,WV,1998,1,15462.0,983.0,110918.0,4.4,34107.0,216.0,1955.0,26748102.45398773,95636506.13496931,24333855.214723922,1548318.4049079753,31932.694478527603,148266782.20858893
34060,Morgantown,WV,1999,1,15473.0,1024.0,110888.0,4.0,34171.0,245.0,1544.0,27955100.840336133,97129164.46578631,24460329.531812724,1699039.0156062425,32496.615246098438,151243633.8535414
34060,Morgantown,WV,2000,1,15359.0,1028.0,111338.0,4.7,35786.0,236.0,2005.0,27596890.24390244,98916698.60627179,24821609.756097563,1810094.6573751452,33897.32636469222,153145293.26364696
34060,Morgantown,WV,2001,1,15109.0,1023.0,112764.0,4.3,36698.0,207.0,1376.0,28886876.83615819,99777896.04519774,25662456.49717514,2155392.09039548,34780.978531073444,156482621.46892655
34060,Morgantown,WV,2002,1,14991.0,940.0,114343.0,5.0,37850.0,225.0,1557.0,28451066.703724287,99771325.73652028,26184021.122846022,2178922.178988327,35708.455252918284,156585335.7420789
34060,Morgantown,WV,2003,1,15110.0,948.0,116466.0,4.9,37530.0,235.0,1234.0,30173989.67391304,108844819.56521738,27163955.978260867,2147046.195652174,35008.6652173913,168329811.41304347
34060,Morgantown,WV,2004,1,14996.0,1013.0,118062.0,4.2,39490.0,261.0,1604.0,29182828.480677605,107385878.24245632,28541209.634727366,2335005.2938062465,36189.197988353626,167444921.65166754
34060,Morgantown,WV,2005,1,14662.0,966.0,119937.0,3.9,39708.0,264.0,1820.0,28565604.710701484,108098386.07270865,28544656.426011264,2266342.549923195,37160.94777265745,167474989.75934458
